city,state_abbrev,month,month_num,avg_max_temp_c,avg_min_temp_c,avg_rainfall_mm,running_temp_category,source_period,source_url
Adelaide,SA,January,1,29.2,17.1,20,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,February,2,29.5,17.2,13,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,March,3,26.5,15.3,27,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,April,4,22.7,12.5,39,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,May,5,19.0,10.2,61,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,June,6,16.1,8.1,80,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,July,7,15.3,7.5,76,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,August,8,16.6,8.2,70,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,September,9,19.0,9.7,59,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,October,10,21.8,11.4,42,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,November,11,25.2,14.0,30,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,December,12,26.9,15.5,30,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,January,1,29.2,21.2,115,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,February,2,28.9,21.0,145,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,March,3,27.9,19.3,108,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,April,4,26.0,16.7,104,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,May,5,23.6,13.7,109,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,June,6,21.2,10.6,65,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,July,7,20.7,9.3,46,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,August,8,21.8,9.7,41,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,September,9,24.1,12.6,33,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,October,10,25.6,15.5,81,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,November,11,26.8,17.9,98,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,December,12,28.4,19.9,136,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,January,1,28.7,13.7,55,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,February,2,27.7,13.6,53,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,March,3,24.8,10.9,45,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,April,4,20.5,7.1,41,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,May,5,16.3,3.7,38,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,June,6,12.5,1.3,45,Cool,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,July,7,11.8,0.2,48,Cool,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,August,8,13.5,1.3,46,Cool,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,September,9,16.6,3.8,52,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
