city,state_abbrev,month,month_num,avg_rainfall_mm,source_url
Adelaide,SA,January,1,20,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,February,2,13,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,March,3,27,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,April,4,39,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,May,5,61,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,June,6,80,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,July,7,76,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,August,8,70,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,September,9,59,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,October,10,42,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,November,11,30,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,December,12,30,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,January,1,115,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,February,2,145,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,March,3,108,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,April,4,104,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,May,5,109,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,June,6,65,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,July,7,46,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,August,8,41,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,September,9,33,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,October,10,81,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,November,11,98,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,December,12,136,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,January,1,55,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,February,2,53,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,March,3,45,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,April,4,41,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,May,5,38,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,June,6,45,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,July,7,48,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,August,8,46,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,September,9,52,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,October,10,51,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,November,11,69,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,December,12,61,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,January,1,466,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,February,2,373,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,March,3,335,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,April,4,108,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,May,5,25,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,June,6,2,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,July,7,1,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,August,8,6,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,September,9,17,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,October,10,65,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,November,11,137,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,December,12,276,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,January,1,44,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,February,2,36,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,March,3,39,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,April,4,43,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,May,5,36,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,June,6,43,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,July,7,47,https://www.bom.gov.au/climate/australia/cities/
