city,state_abbrev,month,month_num,avg_max_temp_c,running_temp_category,source_url
Adelaide,SA,January,1,29.2,Hot,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,February,2,29.5,Hot,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,March,3,26.5,Warm,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,April,4,22.7,Warm,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,May,5,19.0,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,June,6,16.1,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,July,7,15.3,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,August,8,16.6,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,September,9,19.0,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,October,10,21.8,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,November,11,25.2,Warm,https://www.bom.gov.au/climate/australia/cities/
Adelaide,SA,December,12,26.9,Warm,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,January,1,29.2,Hot,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,February,2,28.9,Hot,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,March,3,27.9,Warm,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,April,4,26.0,Warm,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,May,5,23.6,Warm,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,June,6,21.2,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,July,7,20.7,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,August,8,21.8,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,September,9,24.1,Warm,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,October,10,25.6,Warm,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,November,11,26.8,Warm,https://www.bom.gov.au/climate/australia/cities/
Brisbane,QLD,December,12,28.4,Hot,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,January,1,28.7,Hot,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,February,2,27.7,Warm,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,March,3,24.8,Warm,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,April,4,20.5,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,May,5,16.3,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,June,6,12.5,Cool,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,July,7,11.8,Cool,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,August,8,13.5,Cool,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,September,9,16.6,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,October,10,19.9,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,November,11,23.3,Warm,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,December,12,26.2,Warm,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,January,1,31.8,Hot,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,February,2,31.5,Hot,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,March,3,32.1,Hot,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,April,4,32.9,Hot,https://www.bom.gov.au/climate/australia/cities/
