event_name,event_short_name,event_slug,event_location,state,state_abbrev,latitude,longitude,event_id
Burley Griffin parkrun,Burley Griffin,burleygriffin,Weston Park,Australian Capital Territory,ACT,-35.292148,149.088585,1490
Coombs parkrun,Coombs,coombs,Pearlman Street,Australian Capital Territory,ACT,-35.326215,149.047518,1818
Ginninderra parkrun,Ginninderra,ginninderra,John Knight Memorial Park,Australian Capital Territory,ACT,-35.234051,149.073486,364
Gungahlin parkrun,Gungahlin,gungahlin,Yerrabi Pond,Australian Capital Territory,ACT,-35.178952,149.129405,529
Jerrabomberra Mountain Reserve parkrun,Jerrabomberra Mountain Reserve,jerrabomberramountainreserve,Jerrabomberra Mountain Reserve,Australian Capital Territory,ACT,-35.376524,149.20315,3115
Mount Ainslie parkrun,Mount Ainslie,mountainslie,Remembrance Nature Park,Australian Capital Territory,ACT,-35.278828,149.152038,1952
Point Hut Pond parkrun,Point Hut Pond,pointhutpond,Point Hut Pond District Park,Australian Capital Territory,ACT,-35.454104,149.084343,3193
Queanbeyan parkrun,Queanbeyan,queanbeyan,Queanbeyan,Australian Capital Territory,ACT,-35.348151,149.238801,756
Tuggeranong parkrun,Tuggeranong,tuggeranong,Lake Tuggeranong,Australian Capital Territory,ACT,-35.410284,149.064989,501
Umbagong District parkrun,Umbagong District,umbagongdistrict,Umbagong District Park,Australian Capital Territory,ACT,-35.218922,149.020531,3087
Wagi Bridge parkrun,Wagi Bridge,wagibridge,Wagi Bridge,Australian Capital Territory,ACT,-35.161135,149.123403,2508
Woden Town parkrun,Woden Town,wodentown,Woden Town,Australian Capital Territory,ACT,-35.343931,149.088932,3765
Albury Wodonga parkrun,Albury Wodonga,alburywodonga,Hovell Tree Park,New South Wales,NSW,-36.0873,146.88886,648
Armidale parkrun,Armidale,armidale,SportUNE,New South Wales,NSW,-30.491998,151.639419,588
Auburn Botanic Gardens parkrun,Auburn Botanic Gardens,auburnbotanicgardens,Auburn Botanic Gardens,New South Wales,NSW,-33.859877,151.015305,3747
Australian Botanic Garden Mount Annan parkrun,Australian Botanic Garden Mount Annan,aubotanicgardenmountannan,Australian Botanic Garden Mount Annan,New South Wales,NSW,-34.066408,150.766217,3501
Australian Standing Stones parkrun,Australian Standing Stones,australianstandingstones,Australian Standing Stones,New South Wales,NSW,-29.741602,151.752481,3179
Avondale University College parkrun,Avondale University College,avondaleuniversitycollege,Avondale University College,New South Wales,NSW,-33.088354,151.463247,2827
Ballina Coast parkrun,Ballina Coast,ballinacoast,Ballina,New South Wales,NSW,-28.869637,153.576356,1674
Batemans Bay parkrun,Batemans Bay,batemansbay,Batemans Bay,New South Wales,NSW,-35.712112,150.185995,528
Bathurst parkrun,Bathurst,bathurst,Bicentennial Park,New South Wales,NSW,-33.414176,149.586917,606
Bega parkrun,Bega,bega,Bega Racecourse,New South Wales,NSW,-36.667479,149.843541,1318
Bill Rose Sports Complex parkrun,Bill Rose Sports Complex,billrosesportscomplex,Bill Rose Sports Complex,New South Wales,NSW,-32.054009,150.856114,1138
Blackbutt parkrun,Blackbutt,blackbutt,Richley Recreation Reserve,New South Wales,NSW,-32.932526,151.699755,610
Blue Gum Hills parkrun,Blue Gum Hills,bluegumhills,Blue Gum Hills Regional Park,New South Wales,NSW,-32.884131,151.620206,669
Bongil Bongil parkrun,Bongil Bongil,bongilbongil,Bongil Picnic Area,New South Wales,NSW,-30.372884,153.066759,3854
Bourke Racecourse parkrun,Bourke Racecourse,bourkeracecourse,Bourke Racecourse,New South Wales,NSW,-30.09756,145.92572,2160
Braidwood Showground parkrun,Braidwood Showground,braidwoodshowground,Braidwood Showground,New South Wales,NSW,-35.422759,149.791222,2105
Broken Hill Racecourse parkrun,Broken Hill Racecourse,brokenhillracecourse,Broken Hill Racecourse,New South Wales,NSW,-31.911528,141.483931,2438
Bungendore Common parkrun,Bungendore Common,bungendorecommon,Bungendore Common,New South Wales,NSW,-35.250379,149.446987,3471
